Name,ID,Mass (g),LogMass
cayless,Cayless,428,2.63
disgrace,Disgrace,390,2.59
grapes,Grapes,411,2.61
klemmer,Klemmer,647,2.81
maloney,Maloney,471,2.67
moimoi,Moimoi,662,2.82
moon,Moon,460,2.66
shillington ,Shillington,566,2.75
shillington ,Shillington2,566,2.75
shoeshow,Snowshoe,617,2.79
sphynx,Sphynx,342,2.53
tedesco,Tedesco,535,2.73
wolfram,Wolfram,384,2.58
