Species,number,temp,Substrate,max speed,av speed,max accel,av accel,accel standstill,HN,TA,SVL,TAIL,FFOOT,LFL,UFL,HFOOT,LHL,UHL,Mass
V.glauteri,195,35.5,sc,4.171710456,3.327771627,15.42446079,12.38805071,,78.54,127.09,207.5,464,24.84,20.1,18.79,31.97,26.86,31.6,104.5
V.glauteri,196,39.5,sc,3.277301578,2.678493117,14.60479593,10.58772132,,51.85,80.95,134.3,296,14.22,12.83,12.36,22.48,17.74,17.21,21.87
V.glauteri,197,39.1,sc,3.182080059,2.64936151,13.40488118,12.23284078,,49.98,75.62,127.11,269,12.99,9.75,11.18,18.34,16.42,16.18,17.12
V.glauteri,198,37.1,sc,2.577992903,2.459027378,12.03907631,11.67006034,,44.07,62.47,110.3,236,11.2,8.8,10.04,16.88,14.05,13.48,11.73
V.gouldi ,63,35,sand,4.924790551,4.766974313,12.89487233,9.759956175,,100.23,184,276,417,30.31,27.35,26.14,46.07,43.07,38.78,326.1
V.gouldi ,64,32.8,sand,7.026515492,5.495463902,9.409096363,8.578117555,,107.87,211,323,421.5,34.21,28.3,34.32,52.39,51.88,41.16,526.95
V.gouldi ,65,35.1,sand,6.207910385,5.283457597,7.398513506,4.318883271,,114.93,223,333,526.61,38.08,29.17,42.21,56.63,54.22,49.53,785.05
V.gouldii,117,36.8,sand,5.472324733,5.042312584,20.76036016,12.27862677,,100.66,180,272,,28.88,23.45,26.15,38.65,38.2,35.76,295
V.gouldii,201,34.5,sand,5.345196228,4.406731861,21.81977369,16.90489768,21.08363874,116,226,338,438,36.55,27.24,26.4,51.79,46.94,45.4,569
V.gouldii,202,35.5,sand,5.756327289,5.458936844,27.09805026,19.8557387,20.80232903,126,262,380,530,45.9,34.99,38.58,73.28,62.75,52.08,881
V.gouldii,203,37.8,sand,5.409487207,4.282955189,18.18341012,11.69021813,18.18341012,90.95,175,269,415,29.71,21.78,23.36,46.42,40.57,42.42,306
V.gouldii,204,37.8,sand,5.26868719,4.597299609,14.75749785,11.021067,14.39111732,90.95,175,258,394,29.71,21.78,23.36,46.42,38.6,37.96,306
V.gouldii,205,37.5,sand,6.392640208,5.632285291,18.89212313,10.55741251,18.89212313,92.18,168,265,440,25.78,23.29,25.57,46.34,42.21,43.51,245
V.gouldii,206,37.4,sand,6.170319745,5.091005539,15.60363236,11.34910181,13.90115556,103.05,191,299,483,32,28.32,27.2,47,46.99,46.48,386
V.gouldii,207,39.8,sand,4.327562001,3.970721169,20.13125172,17.81032861,,92.85,158,255,432,29.58,23.59,23.69,43.38,48.27,36.84,274
V.gouldii,208,37.1,sand,6.70836733,5.323988273,20.81506106,11.47645761,16.48821214,95.49,182,278,425,30.13,23.31,27.58,42.08,43.78,38.23,269
V.gouldii,211,36,sand,5.230562222,4.799980497,17.53647369,14.24380254,17.53647369,105.8,210,307,444,33.72,23.15,26.38,45.98,44.44,35.84,327
