"","X","file","Pelvis_height","Model_mass","Model_weight","Step_length_R","Step_length_L","Duty_factor_R","Duty_factor_L","Stride_freq","Stride_time","Target_speed","Speed","COT.main","Meta","flight_time","contact_events_total","Gravity","cong","GRFvert_R_max","GRFvert_R_min","GRFfore_R_max","GRFfore_R_min","med_gas_r_tendon","med_gas_r_muscle","lat_gas_r_tendon","lat_gas_r_muscle","soleus_r_tendon","soleus_r_muscle","EMA_knee","EMA_ankle","EMA_hip","metabolic.energy","muscle.activation","actuator.excitation","joint.accelerations","limit.torques","dadt","dFdt","arm.accelerations","planet","scale","job","filename","status_color","COT.status","grf","gait","bounds","status"
"877",877,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job881.mat",0.803291926326754,38,372.78,1.30667711407264,1.3071642969942,0.54,0.54,0.760097676938426,1.3156203871427,1,0.98873787582317,3.64668765795558,0.645782365740461,0,2,-3.73,60.6165927366221,246.098912069705,0.00111361757720863,21.7833764223301,-20.2203781646102,1,1,1,1,1,1,0.0894389060293184,0.0425016128196741,0.0995417115060638,45.9680029286256,24.6770778280637,3.42288038230926,25.6510209980244,0.836683601310323,8.81906357912879e-08,4.93776660609972e-08,1.66858358186373e-05,"mars","scale38","job881","mars_scale38_job881","#ffffff","3.6467","","walking","","ok"
"878",878,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job882.mat",0.803291926326754,38,372.78,1.37302899587504,1.37248218530864,0.42,0.42,1.08108293519853,0.924998413573478,1.5,1.48446626100184,3.15793039731921,0.839613336611197,18,2,-3.73,59.4807565508066,246.662087440235,-0.0323720746741224,33.6247783085968,-82.7121184598827,1,1,1,1,1,1,0.0730639044171644,0.0449411810392224,0.0992533654478776,62.6839647968445,22.870276351905,7.66176031751078,62.7005763722086,0.796425525596771,1.13549856407394e-07,6.38579461922368e-08,7.22932962480987e-05,"mars","scale38","job882","mars_scale38_job882","#ffffff","3.1579","","grounded running","","ok"
"879",879,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job883.mat",0.803291926326754,38,372.78,1.7216753336975,1.71330837882549,0.34,0.34,1.15291611733833,0.867365790937715,2,1.97974401647095,2.69140860479382,0.954322402606386,32,1,-3.73,58.2463262799883,319.738533357926,-0.00174757064736633,43.4479127764342,-92.2418329088198,1,1,1,1,1,1,0.0724429282578641,0.0475032246643126,0.0953028483053442,68.0549765102474,23.229511461181,8.40853125466112,79.6525148659061,0.556399548123738,1.83407205241726e-07,1.00022819516473e-07,6.34421099255833e-05,"mars","scale38","job883","mars_scale38_job883","#ffffff","2.6914","","running","","ok"
"880",880,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job884.mat",0.803291926326754,38,372.78,2.24180321479239,2.222997265993,0.26,0.26,1.10959908607098,0.901226409207791,2.5,2.47490276752694,2.38785029202192,1.05845324707434,50,1,-3.73,56.2881734827523,458.682319243199,-0.000342499157939475,51.824609765137,-106.411834977973,1,1,1,1,1,1,0.0730758202556657,0.0536534874445801,0.0892395137655509,78.0826639122949,23.3528914696415,9.97099021163962,103.155880654911,0.390001379451328,2.51677011138184e-07,1.45141406977529e-07,6.22086372151117e-05,"mars","scale38","job884","mars_scale38_job884","#ffffff","2.3879","","running","","ok"
"881",881,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job885.mat",0.803291926326754,38,372.78,2.75431154201408,2.72586728380041,0.22,0.22,1.08548191843661,0.921249799757395,3,2.96999846952741,2.26199478910387,1.20324556329268,56,1,-3.73,59.0162635737453,552.311291224238,-1.82582433648598e-05,65.0979634035818,-114.581061828156,1,1,1,1,1,1,0.0733771404007929,0.0550584310868389,0.0882785262667886,92.167052728348,26.0032509760235,11.6860336610873,117.927963645844,0.39834706382419,3.51051906903171e-07,1.81638024939718e-07,5.81829367924374e-05,"mars","scale38","job885","mars_scale38_job885","#ffffff","2.262","","running","","ok"
"882",882,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job886.mat",0.803291926326754,38,372.78,3.965258845632,3.94250648320531,0.23,0.23,0.874999991349484,1.14285715415578,3.5,3.46602025141654,2.83386811221327,1.75920792837757,54,3,-3.73,63.4039321096864,605.583361267519,-0.000496591908933811,97.3626003407647,-154.153338207172,1,1,1,1,1,1,0.0826386045535582,0.0439314995020831,0.0790265710601633,199.535602474186,45.3971550511476,18.3504844770358,203.520072994903,0.258829898747843,7.85434171920949e-07,4.00295718063212e-07,8.96696315376269e-05,"mars","scale38","job886","mars_scale38_job886","#ffffff","2.8339","","skipping","","ok"
"883",883,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job887.mat",0.803291926326754,38,372.78,3.98615091109589,3.94826888809376,0.21,0.21,0.999999990178253,1.00000000982175,4,3.95843864798159,2.82864726912342,2.00543761282491,58,3,-3.73,64.6071882917729,839.314930644745,-0.658604154260951,96.7450902332259,-187.603307217033,1,1,1,1,1,1,0.0788207631976269,0.0494814577515598,0.0805649526971344,223.402804833258,45.9623866530239,23.8064212200319,284.189313378567,0.16500067416002,9.13745644571728e-07,4.9182229184442e-07,8.17104515316608e-05,"mars","scale38","job887","mars_scale38_job887","#ffffff","2.8286","","skipping","","ok"
"884",884,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job888.mat",0.803291926326754,38,372.78,3.97854264510878,3.95504884662711,0.26,0.26,1.12499998875178,0.88888889777637,4.5,4.45392975891049,3.95864409732884,3.15788467164686,50,5,-3.73,62.3667939346951,718.591503486922,-0.652239612468409,83.1328606339753,-156.782693859119,1,1,1,1,1,1,0.0801455553506166,0.0512419282520184,0.0780660134316731,520.812435770382,72.1133618691437,25.0837661370734,626.115812680485,0.0310182888002156,1.54633185606546e-06,7.8719191098696e-07,8.1025398658467e-05,"mars","scale38","job888","mars_scale38_job888","#ffffff","3.9586","","quick small steps","","ok"
"885",885,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job889.mat",0.803291926326754,38,372.78,3.99729758172159,3.94544120303428,0.2,0.2,1.25000001244921,0.799999992032504,5,4.94729692008815,3.84127839548026,3.40369160152131,62,3,-3.73,59.859375891155,836.037827188367,-2.87559840075007e-09,122.087523585067,-254.934291743007,1,1,1,1,1,1,0.0856454954829807,0.0504808301797678,0.0821764219533781,601.240175495978,62.1875379575292,52.8023739788121,652.512640423075,0.104413426923147,1.40075556368477e-06,7.53933729839924e-07,7.69036046641258e-05,"mars","scale38","job889","mars_scale38_job889","#ed7d31","3.8413","","skipping","","restoration_failed"
"886",886,"./Falisse_et_al_2022_mars_scale38/Falisse_et_al_2022_mars_scale38_job890.mat",0.803291926326754,38,372.78,3.97661049480704,3.9703084420159,0.26,0.26,1.37499998687578,0.727272734214463,5.5,5.43936570734618,4.7406668739747,4.61842761031343,52,4,-3.73,57.1563298448019,639.860822153631,-0.552221653416803,124.534148200501,-293.057921903512,1,1,1,1,1,1,0.0820927840057476,0.0570556186965218,0.0854377252278451,1087.48788195934,78.5474581797015,150.621133170477,1269.11222450261,9.78924166591058,1.6457854765738e-06,8.63916440775339e-07,8.05781444368695e-05,"mars","scale38","job890","mars_scale38_job890","#ffffff","4.7407","","skipping (but knees come in)","","ok"
