"","file","Mass","mean_pelvis","mean_torso","mean_speed","row"
"66","./Falisse_et_al_2022_scale63/Falisse_et_al_2022_scale63_job401_VDBA.mat",63,19.1653614089874,17.5476481274801,3.35317403463652,1687
"67","./Falisse_et_al_2022_scale63/Falisse_et_al_2022_scale63_job402_VDBA.mat",63,17.4737791603348,16.4326778382987,3.60146840068481,1688
"68","./Falisse_et_al_2022_scale63/Falisse_et_al_2022_scale63_job403_VDBA.mat",63,15.8157568589415,14.5706382648807,3.73668226068635,1689
"69","./Falisse_et_al_2022_scale63/Falisse_et_al_2022_scale63_job404_VDBA.mat",63,15.0146144676895,14.1440504006328,4.0427589979337,1690
"70","./Falisse_et_al_2022_scale63/Falisse_et_al_2022_scale63_job406_VDBA.mat",63,15.1845755817146,14.0073769646822,4.79782158110683,1692
"71","./Falisse_et_al_2022_scale63/Falisse_et_al_2022_scale63_job408_VDBA.mat",63,19.284521803181,14.438663791965,5.7991311825839,1694
"72","./Falisse_et_al_2022_scale900/Falisse_et_al_2022_scale900_job1463_VDBA.mat",900,33.6273658597783,18.105057133235,1.22801590672404,1698
"73","./Falisse_et_al_2022_scale900/Falisse_et_al_2022_scale900_job1464_VDBA.mat",900,42.0093562978697,19.7090209534304,1.97042116940755,1699
"74","./Falisse_et_al_2022_scale900/Falisse_et_al_2022_scale900_job1466_VDBA.mat",900,54.0800827496459,39.9136141585888,5.63188651145672,1701
"75","./Falisse_et_al_2022_scale900/Falisse_et_al_2022_scale900_job1468_VDBA.mat",900,53.3403897999839,40.4904886220629,6.42655706287347,1703
"76","./Falisse_et_al_2022_scale900/Falisse_et_al_2022_scale900_job1471_VDBA.mat",900,48.9629423292031,36.2970171285006,7.40380234575938,1706
"77","./Falisse_et_al_2022_scale900/Falisse_et_al_2022_scale900_job439_VDBA.mat",900,42.1350285308611,19.7610448920083,1.96937685129464,1720
