ID,Name,threshold,IndMean,IndMax,SpeciesMean,SpeciesMeanMax,Species,LogMass,Device,DeviceAttachment,total_min,high_min,med_min,low_min,rest_min,prop_high,prop_med,prop_low,prop_rest
1,Harris_Sheep,active,0.212152855520971,2.8893890446461,0.239265368297213,4.37539672971814,Merino and Suffolk,5,Actigrapgh wGT3X-BT,Face,39.7888888888889,0,0.00333333333333333,27.8516666666667,11.9338888888889,0,8.37754817090198e-05,0.699986037419715,0.299930187098576
10,Clemente_Impala,active,0.127699300385941,3.16064776998651,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar,125.074333333333,0,0.00133333333333333,32.524,92.549,0,1.06603273253505e-05,0.260037364447275,0.739951975225399
10,Harris_Sheep,active,0.267282822505165,4.37539672971814,0.239265368297213,4.37539672971814,Merino and Suffolk,5,Actigrapgh wGT3X-BT,Face,25.6333333333333,0.000555555555555556,0.00333333333333333,15.2061111111111,10.4233333333333,2.16731686172518e-05,0.000130039011703511,0.5932162982228,0.406631989596879
12,Clemente_Impala,active,0.160303430333824,2.89553388397529,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar,105.126,0,0.0103333333333333,42.926,62.1896666666667,0,9.82947447190356e-05,0.408329052755741,0.59157265249954
13,Clemente_Impala,active,0.133559540288275,2.96882128506883,0.147110668231347,4.7032764141397,Common Impala,4.69,Axivity,Collar,102.272666666667,0,0.001,19.3783333333333,82.8933333333334,0,9.77778357201989e-06,0.189477149319792,0.810513072896636
1302,Dissanayake_Calf,active,0.251268435336961,2.26425817877891,0.190290214536609,2.26425817877891,Holstein Friesian and Jersey,5,,Collar,3.658,0.00666666666666667,0.0846666666666667,1.076,2.49066666666667,0.00182248952068526,0.0231456169127028,0.2941498086386,0.680882084928012
1303,Dissanayake_Calf,active,0.137139432961872,2.0085500655745,0.190290214536609,2.26425817877891,Holstein Friesian and Jersey,5,,Collar,3.65733333333333,0.00333333333333333,0.0253333333333333,1.39266666666667,2.236,0.000911410864017499,0.00692672256653299,0.380787458986511,0.611374407582938
1306,Dissanayake_Calf,active,0.192695574228632,2.01166491968591,0.190290214536609,2.26425817877891,Holstein Friesian and Jersey,5,,Collar,2.876,0.00266666666666667,0.0653333333333333,1.48333333333333,1.32466666666667,0.000927213722763097,0.0227167362076959,0.515762633286973,0.460593416782568
1308,Dissanayake_Calf,active,0.250274915773305,1.72356182521497,0.190290214536609,2.26425817877891,Holstein Friesian and Jersey,5,,Collar,4.21133333333333,0.000666666666666667,0.106,1.512,2.59266666666667,0.000158302991926547,0.025170175716321,0.35903118568941,0.615640335602343
1312,Dissanayake_Calf,active,0.174218324986429,2.12483505996495,0.190290214536609,2.26425817877891,Holstein Friesian and Jersey,5,,Collar,2.63933333333333,0.000666666666666667,0.0493333333333333,1.21933333333333,1.37,0.000252589037635767,0.0186915887850467,0.461985349835817,0.5190704723415
1314,Dissanayake_Calf,active,0.171804128793839,1.99789152032013,0.190290214536609,2.26425817877891,Holstein Friesian and Jersey,5,,Collar,3.60533333333333,0.00133333333333333,0.042,2.00533333333333,1.55666666666667,0.000369822485207101,0.0116494082840237,0.556213017751479,0.43176775147929
