ID,volume,Species
M5,0.135868055555556,Dunford_Cat
Coco_1,45.3778333333333,Galea_Cat
Freddie_1,46.4186666666667,Galea_Cat
Jaya_1,48.8886666666667,Galea_Cat
Jett_1,47.5366666666667,Galea_Cat
Juliet_1,45.3728333333333,Galea_Cat
Maple_1,46.6043333333333,Galea_Cat
Maple_2,19.8855,Galea_Cat
Max_1,47.0756666666667,Galea_Cat
Obi_1,42.4608333333333,Galea_Cat
Romeo_1,46.5925,Galea_Cat
Skippy_1,47.0855,Galea_Cat
Timmy_1,46.5235,Galea_Cat
Cayless,46.8433333333333,Gaschk_Quoll
Disgrace,23.8305,Gaschk_Quoll
Grapes,16.4763333333333,Gaschk_Quoll
Klemmer,11.6321666666667,Gaschk_Quoll
Maloney,4.9665,Gaschk_Quoll
Moimoi,34.8636666666667,Gaschk_Quoll
Moon,5.57116666666667,Gaschk_Quoll
Shillington,11.2516666666667,Gaschk_Quoll
Shillington2,4.72366666666667,Gaschk_Quoll
Snowshoe,11.1051666666667,Gaschk_Quoll
Sphynx,16.1931666666667,Gaschk_Quoll
Tedesco,10.7653333333333,Gaschk_Quoll
Unknown QUOLL,165.3115,Gaschk_Quoll
Wolfram,51.7516666666667,Gaschk_Quoll
1,19.8944444444444,Harris_Sheep
2,17.3,Harris_Sheep
3,18.6027777777778,Harris_Sheep
4,15.9194444444444,Harris_Sheep
5,8.23333333333333,Harris_Sheep
6,16.1638888888889,Harris_Sheep
7,15.4694444444444,Harris_Sheep
8,15.7666666666667,Harris_Sheep
9,16.9583333333333,Harris_Sheep
10,12.8166666666667,Harris_Sheep
S006,2.27060555555556,HARTH_Human
S008,2.32771666666667,HARTH_Human
S009,0.858133333333333,HARTH_Human
S010,1.95360555555556,HARTH_Human
S012,2.12452222222222,HARTH_Human
S013,2.05042777777778,HARTH_Human
S014,2.03603888888889,HARTH_Human
S015,2.3244,HARTH_Human
S016,1.97454444444444,HARTH_Human
S017,2.03671666666667,HARTH_Human
S018,1.79039444444444,HARTH_Human
S019,1.65525,HARTH_Human
S020,2.06386666666667,HARTH_Human
S021,1.67915,HARTH_Human
S022,1.87556666666667,HARTH_Human
S023,0.7647,HARTH_Human
S024,0.947411111111111,HARTH_Human
S025,1.28738333333333,HARTH_Human
S026,1.08428888888889,HARTH_Human
S027,0.881022222222222,HARTH_Human
S028,0.917655555555556,HARTH_Human
S029,0.992866666666667,HARTH_Human
champ,0.235466666666667,HarveyCaroll_Pangolin
cindy1,0.361205555555556,HarveyCaroll_Pangolin
cindy2,0.284383333333333,HarveyCaroll_Pangolin
dakari,0.586055555555556,HarveyCaroll_Pangolin
impi1,0.222144444444444,HarveyCaroll_Pangolin
impi2,0.0376,HarveyCaroll_Pangolin
impi3,0.0931555555555556,HarveyCaroll_Pangolin
shura,0.251211111111111,HarveyCaroll_Pangolin
yakachena1,0.266816666666667,HarveyCaroll_Pangolin
yakachena2,0.0755611111111111,HarveyCaroll_Pangolin
21038,1.07989444444444,Mauny_Goat
21055,1.07989444444444,Mauny_Goat
21066,1.07989444444444,Mauny_Goat
21083,1.07989444444444,Mauny_Goat
21091,1.07921666666667,Mauny_Goat
21101,1.07990555555556,Mauny_Goat
21118,1.07989444444444,Mauny_Goat
21119,1.07921666666667,Mauny_Goat
cc16_352a_A_25Hz,75.0033555555556,Minasandra_Hyena
cc16_352b_A_25Hz,273.723277777778,Minasandra_Hyena
cc16_354a_A_25Hz,251.0193,Minasandra_Hyena
cc16_360a_A_25Hz,261.925755555556,Minasandra_Hyena
cc16_366a_A_25Hz,257.9377,Minasandra_Hyena
T01_0721.csv,11.4975,Neis_Cow
T01_0722.csv,24,Neis_Cow
T01_0723.csv,24,Neis_Cow
T01_0724.csv,24,Neis_Cow
T01_0725.csv,24,Neis_Cow
T01_0726.csv,24,Neis_Cow
T01_0727.csv,24,Neis_Cow
T01_0728.csv,24,Neis_Cow
T01_0729.csv,24,Neis_Cow
T01_0730.csv,24,Neis_Cow
T01_0731.csv,24,Neis_Cow
T01_0801.csv,23.9999722222222,Neis_Cow
T01_0802.csv,23.9997222222222,Neis_Cow
T01_0803.csv,24,Neis_Cow
T01_0804.csv,7.00413888888889,Neis_Cow
3,215.800017361111,Pagano_Bear
5,219.550017361111,Pagano_Bear
6,236.316684027778,Pagano_Bear
7,252.883350694444,Pagano_Bear
8,189.783350694444,Pagano_Bear
9,209.883350694444,Pagano_Bear
Acc2,1.94447222222222,Rautiainen_Reindeer
Cho,3.60366666666667,Smit_Cat
Hagrid,3.791,Smit_Cat
Harry,4.17,Smit_Cat
Hermione,3.48366666666667,Smit_Cat
JellyB,3.31,Smit_Cat
Jube,3.779,Smit_Cat
Angelina,0.0528944444444444,Sparkes_Koala
Anne,0.0270777777777778,Sparkes_Koala
Chadwick,0.0204166666666667,Sparkes_Koala
Dwayne,0.0586111111111111,Sparkes_Koala
Elsa,2.86483333333333,Sparkes_Koala
Ferrel,0.0519944444444445,Sparkes_Koala
Hardy,1.93593333333333,Sparkes_Koala
Holland,0.0655555555555555,Sparkes_Koala
Meeka,3.03558888888889,Sparkes_Koala
Murray,0.0551555555555556,Sparkes_Koala
Nicole,1.52331111111111,Sparkes_Koala
-B!,1.30333333333333,Studd_Squirrel
-Y!,0.566666666666667,Studd_Squirrel
B!-,0.227777777777778,Studd_Squirrel
B!B!,0.363333333333333,Studd_Squirrel
B!R!,0.27,Studd_Squirrel
B!Y!,1.17,Studd_Squirrel
Bk!W!,0.574444444444444,Studd_Squirrel
G!Bk!,0.180555555555556,Studd_Squirrel
G!G!,0.730555555555556,Studd_Squirrel
G-,0.821666666666667,Studd_Squirrel
GP,0.189444444444444,Studd_Squirrel
O!B!,1.04611111111111,Studd_Squirrel
O!O!,0.402777777777778,Studd_Squirrel
O!W!,0.610555555555556,Studd_Squirrel
OB,0.100555555555556,Studd_Squirrel
P!W!,2.04333333333333,Studd_Squirrel
PW,0.486111111111111,Studd_Squirrel
R!P!,0.571666666666667,Studd_Squirrel
R!R!,0.263888888888889,Studd_Squirrel
RO,0.27,Studd_Squirrel
RR,0.511666666666667,Studd_Squirrel
W!B!,0.463333333333333,Studd_Squirrel
W!W!,0.387222222222222,Studd_Squirrel
W!Y!,1.475,Studd_Squirrel
WBk,0.425,Studd_Squirrel
WP,0.280555555555556,Studd_Squirrel
Y!B!,0.777777777777778,Studd_Squirrel
YG,0.298333333333333,Studd_Squirrel
YO,0.337777777777778,Studd_Squirrel
16_1,0.317888888888889,Vehkaoja_Dog
16_2,0.323986111111111,Vehkaoja_Dog
18_1,0.291844444444445,Vehkaoja_Dog
19_2,0.267075,Vehkaoja_Dog
20_1,0.290302777777778,Vehkaoja_Dog
21_1,0.315041666666667,Vehkaoja_Dog
22_2,0.293411111111111,Vehkaoja_Dog
23_1,0.298847222222222,Vehkaoja_Dog
23_2,0.289133333333333,Vehkaoja_Dog
25_1,0.265083333333333,Vehkaoja_Dog
25_2,0.282441666666667,Vehkaoja_Dog
26_1,0.295919444444444,Vehkaoja_Dog
26_2,0.296575,Vehkaoja_Dog
27_1,0.328538888888889,Vehkaoja_Dog
27_2,0.325883333333333,Vehkaoja_Dog
28_1,0.2939,Vehkaoja_Dog
29_1,0.334427777777778,Vehkaoja_Dog
29_2,0.328647222222222,Vehkaoja_Dog
30_1,0.305072222222222,Vehkaoja_Dog
30_2,0.311463888888889,Vehkaoja_Dog
33_1,0.329575,Vehkaoja_Dog
34_1,0.319597222222222,Vehkaoja_Dog
34_2,0.321963888888889,Vehkaoja_Dog
36_1,0.265258333333333,Vehkaoja_Dog
39_1,0.337288888888889,Vehkaoja_Dog
39_2,0.304561111111111,Vehkaoja_Dog
41_1,0.279480555555556,Vehkaoja_Dog
41_2,0.249744444444444,Vehkaoja_Dog
43_1,0.339297222222222,Vehkaoja_Dog
43_2,0.323558333333333,Vehkaoja_Dog
44_1,0.31965,Vehkaoja_Dog
45_1,0.355358333333333,Vehkaoja_Dog
45_2,0.353244444444444,Vehkaoja_Dog
46_1,0.334563888888889,Vehkaoja_Dog
46_2,0.340419444444444,Vehkaoja_Dog
47_1,0.321722222222222,Vehkaoja_Dog
47_2,0.324694444444445,Vehkaoja_Dog
48_1,0.324205555555556,Vehkaoja_Dog
48_2,0.331477777777778,Vehkaoja_Dog
49_1,0.296241666666667,Vehkaoja_Dog
49_2,0.293019444444444,Vehkaoja_Dog
51_1,0.295911111111111,Vehkaoja_Dog
52_1,0.294591666666667,Vehkaoja_Dog
53_1,0.301522222222222,Vehkaoja_Dog
54_1,0.244363888888889,Vehkaoja_Dog
55_1,0.266072222222222,Vehkaoja_Dog
56_1,0.338841666666667,Vehkaoja_Dog
57_1,0.348544444444444,Vehkaoja_Dog
58_2,0.314272222222222,Vehkaoja_Dog
59_1,0.319308333333333,Vehkaoja_Dog
60_1,0.265988888888889,Vehkaoja_Dog
61_1,0.319852777777778,Vehkaoja_Dog
63_2,0.317930555555556,Vehkaoja_Dog
65_1,0.293716666666667,Vehkaoja_Dog
66_2,0.335138888888889,Vehkaoja_Dog
67_1,0.310486111111111,Vehkaoja_Dog
68_1,0.326769444444444,Vehkaoja_Dog
70_1,0.374219444444445,Vehkaoja_Dog
72_1,0.351083333333333,Vehkaoja_Dog
73_1,0.380530555555556,Vehkaoja_Dog
74_1,0.2601,Vehkaoja_Dog
74_2,0.311113888888889,Vehkaoja_Dog
-880234351,616.104444444445,Williams_Squirrel
-198305044,978.759722222222,Williams_Squirrel
-145606153,1021.55833333333,Williams_Squirrel
102923691,1056,Williams_Squirrel
326079810,855.458055555556,Williams_Squirrel
1111117757,335.536944444444,Williams_Squirrel
1370221972,425.083611111111,Williams_Squirrel
1797145466,504,Williams_Squirrel
