Name,Species,Citation,StudyMass,GuesstimatedMass,MOMLogMass,LogMass,SamplingStyle,Frequency,SamplingSensitivity,Device,DeviceAttachment
Harris_Sheep,Merino and Suffolk ,"Andrew Thompson, Ian Harris, and MLA. (2022). WA sheep behaviour accelerometer data [Data set]. Kaggle. https://doi.org/10.34740/KAGGLE/DS/2349415",,100,,5,Continuous,30,8G,Actigrapgh wGT3X-BT,Face
Buchmann_Pig,Deutsche Landrasse x Pietrain and Kunekune,"Buchmann, C. M., Dreyling, L., Constantin, M., & Schurr, F. M. (2023). What acceleration data from wildlife collars and animal body mass tell us about seed dispersal. Animal Biotelemetry, 11(1), 22.",129,,,5.11,Burst,33.3,,,Collar
Clemente_Kudu,Greater Kudu,Unpublished,180,,,5.26,Continuous,50,,Axivity,Collar
Pagano_Bear,Polar Bear and Brown Bear,"Pagano, A. M., Rode, K. D., Cutting, A., Owen, M. A., Jensen, S., Ware, J. V., ... & Williams, T. M. (2017). Using tri-axial accelerometers to identify wild polar bear behaviors. Endangered Species Research, 32, 19-33.",180,,,5.26,Continuous,16,,,
Buchmann_Horse,Dulmener  and Shetland Pony,"Buchmann, C. M., Dreyling, L., Constantin, M., & Schurr, F. M. (2023). What acceleration data from wildlife collars and animal body mass tell us about seed dispersal. Animal Biotelemetry, 11(1), 22.",219,,,5.34,Burst,33.3,,,Collar
Buchmann_Mule,Mule,"Buchmann, C. M., Dreyling, L., Constantin, M., & Schurr, F. M. (2023). What acceleration data from wildlife collars and animal body mass tell us about seed dispersal. Animal Biotelemetry, 11(1), 22.",292,,,5.47,Burst,33.3,,,Collar
Buchmann_Donkey,Poitou,"Buchmann, C. M., Dreyling, L., Constantin, M., & Schurr, F. M. (2023). What acceleration data from wildlife collars and animal body mass tell us about seed dispersal. Animal Biotelemetry, 11(1), 22.",500,,,5.7,Burst,33.3,,,Collar
Buchmann_Camel,Bactrian ,"Buchmann, C. M., Dreyling, L., Constantin, M., & Schurr, F. M. (2023). What acceleration data from wildlife collars and animal body mass tell us about seed dispersal. Animal Biotelemetry, 11(1), 22.",690,,,5.84,Burst,33.3,,,Collar
Buchmann_Cow,Holstein–Friesian and Jersey,"Buchmann, C. M., Dreyling, L., Constantin, M., & Schurr, F. M. (2023). What acceleration data from wildlife collars and animal body mass tell us about seed dispersal. Animal Biotelemetry, 11(1), 22.",791,,,5.9,Burst,33.3,,,Collar
Neis_Cow,Dairy Cow,"Vu, H., Prabhune, O., Raskar, U., Panditharatne, D., Chung, H., Choi, C. Y., & Kim, Y. (2024). MmCows: A multimodal dataset for dairy cattle monitoring. In Advances in Neural Information Processing Systems (Vol. 37, pp. 59451–59467).",,1000,,6,Continuous,10,,,Collar
