"samp","mrot_X","drot_X","mrot_Y","drot_Y","mrot_Z","drot_Z","mrot_stX","drot_stX","mrot_stY","drot_stY","mrot_stZ","drot_stZ","mrot_dyX","drot_dyX","mrot_dyY","drot_dyY","mrot_dyZ","drot_dyZ","meanrot_stx","meanrot_sty","meanrot_stz","meanrot_dyx","meanrot_dyy","meanrot_dyz","minrot_stx","minrot_sty","minrot_stz","maxrot_stx","maxrot_sty","maxrot_stz","minrot_dyx","minrot_dyy","minrot_dyz","maxrot_dyx","maxrot_dyy","maxdrot_yz","sdrot_stx","sdrot_sty","sdrot_stz","sdrot_dyx","sdrot_dyy","sdrot_dyz","mroll","droll","mpitch","dpitch","ID","Timestamp","Modifiers"
7385,0.375,0.063,0.01431329,0.00610829175,0.8888803,8.7199999999954e-05,0.3972353,0.00154412499999995,-5.551115e-17,1.249001e-16,0.8790979,0.002489925,-0.01852941,0.063,0.01431329,0.00610829175,0.009782336,0.00413667675,0.39661765,-6.1062275e-17,0.87879487,0.006732355,0.00539056665,0.00664529525,0.3922941,-2.220446e-16,0.8760392,0.3997059,1.110223e-16,0.8829453,-0.02470588,-0.0369479,-0.03094031,0.04570588,0.01824383,0.06154698,0.00213960236258984,8.6185901354191e-17,0.00204228904524207,0.0325436118422248,0.0193505593746056,0.0194714440561678,-0.9010889,0.00358452500000006,-0.4244054,0.000807049999999976,3,"2020-03-04 15:13:29","Resting"
6733,0.5,0,-5.551115e-17,0,0.8504963,0,0.498902,0.00481372499999999,-5.551115e-17,0,0.8504963,0,0.001098039,0.0048137255,0,0,0,0,0.497836285,-5.551115e-17,0.8504963,0.0021637254,0,0,0.4942745,-5.551115e-17,0.8504963,0.5,-5.551115e-17,0.8504963,0,0,0,0.00572549,0,0,0.00241425382267264,0,0,0.0024142449930839,0,0,-0.9423458,0,-0.530509,0.00421667499999989,3,"2020-03-04 14:51:45","Resting"
5741,0.375,0.062,-0.017727465,0.0193021225,0.90121345,0.00929795,0.36468625,0.00668624999999995,-2.7755575e-17,1.110223e-16,0.9008762,0.00281235000000002,0.00727451,0.05835294,-0.017727465,0.0193021225,0.0019425665,0.01266382345,0.363835295,-5.27355925e-17,0.9006022,-0.0074352951,-0.010796588,0.009664669685,0.3592157,-2.220446e-16,0.8971523,0.3677255,1.110223e-16,0.9054411,-0.0535098,-0.05662768,-0.01468924,0.01578431,0.05904281,0.05504485,0.00345202152985829,8.53823830762456e-17,0.00240890585208523,0.0285591642683086,0.0267723418983617,0.018743301125195,-0.9551262,0.0114809000000001,-0.38567735,0.00594142499999994,3,"2020-03-04 14:18:41","Low"
9575,-0.219,0.125,-0.01383534,0.0375480475,0.988394,0.088955475,-0.2435294,0.07696075,-5.551115e-17,5.551115e-17,0.9721414,0.00838460000000008,-0.005539216,0.03993137,-0.01383534,0.0375480475,0.01246642,0.0779596225,-0.23976667,-3.3306695e-17,0.97043222,-0.00438333372,-0.0047998118,-0.01056294865,-0.3017255,-1.665335e-16,0.9606415,-0.1606863,1.110223e-16,0.9767862,-0.07694118,-0.05537647,-0.1210355,0.05123529,0.05196094,0.1024414,0.0456807864635738,7.72551400914441e-17,0.00544168277732657,0.0309875709146601,0.0314949633539817,0.0606995074309389,-0.9370789,0.012844025,0.2454551,0.0766958,3,"2020-03-04 16:26:29","Low"
7432,0.438,0,0.026158085,0.00902804,0.88853245,0.000221599999999933,0.438,0,-5.551115e-17,1.110223e-16,0.865396,0.00545847500000018,0,0,0.026158085,0.00902804,0.02098353,0.00670247,0.438,-4.99600375e-17,0.866306645,0,0.0238782045,0.015951287,0.438,-1.665335e-16,0.8635202,0.438,1.110223e-16,0.8710641,0,-0.01941519,-0.02650465,0,0.06697566,0.02494538,0,7.40392138025322e-17,0.00295647586040065,0,0.0177346756850944,0.0149395794148638,-0.9166779,0.00819654999999997,-0.468537,0.00253732500000003,3,"2020-03-04 15:15:03","Resting"
7827,0.375,0,0.00987217,0.004878847,0.8889407,5.00249999999536e-05,0.3737843,0,-5.551115e-17,5.551115e-17,0.9022315,0.00237497499999995,0.001215686,0,0.00987217,0.004878847,-0.01234116,0.006216406,0.3737843,-8.04911725e-17,0.901901035,-0.0018843138,0.0026221529,-0.0032733396,0.3737843,-1.665335e-16,0.8965433,0.3737843,0,0.9050842,-0.06078431,-0.02806814,-0.01618167,0.001215686,0.01285553,0.03514847,0,4.21415586460759e-17,0.00243011709123893,0.0138636205660715,0.0155539361959943,0.0195003688568755,-0.8969344,0.00210199999999994,-0.3927632,0.00093074999999998,3,"2020-03-04 15:28:13","Resting"
6785,0.5,0,-5.551115e-17,0,0.8504963,0,0.5,0,-5.551115e-17,0,0.8504963,0,0,0,0,0,0,0,0.5,-5.551115e-17,0.8504963,0,0,0,0.5,-5.551115e-17,0.8504963,0.5,-5.551115e-17,0.8504963,0,0,0,0,0,0,0,0,0,0,0,0,-0.9423458,0,-0.531469,0,3,"2020-03-04 14:53:29","Resting"
5728,-0.5,0.062,0.04209401,0.078168450925,0.88899015,0.088092875,-0.3899118,0.131387225,-5.551115e-17,6.93889375e-17,0.9176134,0.0238099999999999,-0.10789215,0.14959806,0.04209401,0.078168450925,-0.02937347,0.07911035825,-0.38229119,-6.38378225e-17,0.911141075,-0.108608817,0.038707725915,-0.01969566875,-0.4909412,-2.220446e-16,0.8912411,-0.2353922,5.551115e-17,0.9253328,-0.308,-0.08902944,-0.153289,0.05294118,0.1357688,0.1573625,0.0812047705037858,6.04751141993101e-17,0.012614558791912,0.110352022739748,0.055854002227292,0.080467058822034,-0.8852535,0.00412917499999998,0.40149555,0.1323893,3,"2020-03-04 14:18:15","Ground"
4705,-0.125,0.23475,0.0166474755,0.0694378625,0.96277835,0.17789175,-0.23367645,0.016549025,-5.551115e-17,6.93889375e-17,0.9639628,0.00980832500000006,0.1049902,0.21483824,0.0166474755,0.0694378625,0.00167805,0.177526795,-0.236189215,-8.0491175e-17,0.96635073,0.064089213,0.01628584355,0.0185656955,-0.282098,-2.775558e-16,0.9572101,-0.211,5.551115e-17,0.9771656,-0.2894902,-0.05106479,-0.2001342,0.2801373,0.09016817,0.4776137,0.0196114588022109,8.14949017693188e-17,0.00646481144277477,0.179337151510893,0.0447060103355792,0.154939635111906,-0.9730085,0.011750925,0.2382307,0.0192213,3,"2020-03-04 13:44:09","Ground"
7190,0.438,0,-5.551115e-17,0.000178466650000014,0.8504963,7.49999999882789e-08,0.438,0,-5.551115e-17,2.7755575e-17,0.8504963,0.00024592499999998,0,0,0,0.00017846665,0,0.000246004025,0.438,-2.7755575e-17,0.850742225,0,0.00017846665,-0.000246004025,0.438,-5.551115e-17,0.8504963,0.438,5.551115e-17,0.85148,0,0,-0.0009840161,0,0.0007138666,0,0,4.9322951108425e-17,0.000437020193288728,0,0.000317143559534774,0.000437160624398909,-0.9423458,0.000209849999999956,-0.4755703,0.000117599999999995,3,"2020-03-04 15:06:59","Resting"
10017,-0.125,0.187,-8.19350000000004e-06,0.046087945,1.025412,0.146760875,-0.2575784,0.033754825,-8.3266725e-17,1.665335e-16,0.9808976,0.00611880000000009,0.1350196,0.21891178,-8.19350000000004e-06,0.046087945,0.045381545,0.14538705775,-0.24412156,-8.049118e-17,0.98113482,0.1002215605,0.00094716215,0.05384332145,-0.2722549,-2.775558e-16,0.9772454,-0.1643333,5.551115e-17,0.9852869,-0.2106667,-0.05870891,-0.1347361,0.3340392,0.05068645,0.2156773,0.0329632958282135,9.61059675213407e-17,0.0030292302210645,0.149969342312375,0.0316513290948071,0.0977907820492572,-0.90407515,0.00270397499999986,0.25686455,0.033188975,3,"2020-03-04 16:41:13","Walking"
9483,0.375,0.125,0.005005085,0.03786150575,0.85049375,0.0595243,0.27353925,0.0975392,0,5.551115e-17,0.8914169,0.0203689000000001,0.096764705,0.04325001,0.005005085,0.03786150575,-0.01789874,0.0498635325,0.273723535,-3.0531135e-17,0.89089291,0.0922264699,-0.00509667985,-0.01036057595,0.1815294,-1.665335e-16,0.8678462,0.3704706,5.551115e-17,0.9146286,0.006470588,-0.03759771,-0.2015783,0.1497451,0.01929629,0.08539753,0.0599229300137687,5.54380673524142e-17,0.0141028430731985,0.0363696221361798,0.019775606583933,0.0599890056366624,-0.9432002,0.0128716499999999,-0.2977358,0.106357775,3,"2020-03-04 16:23:25","Resting"
9653,-0.375,0,-0.006314884,0.0440918225,0.95417105,0.05330375,-0.37830395,0.0233088,-5.551115e-17,1.6653345e-16,0.9265195,0.00591794999999984,-0.00222549,0.029151965,-0.006314884,0.0440918225,0.02257841,0.0573010675,-0.37497843,-3.330669e-17,0.927345525,-0.0032215686,-0.0016058625,-0.0027764402,-0.3973922,-1.665335e-16,0.9230576,-0.3494314,1.665335e-16,0.9331196,-0.04658824,-0.06084828,-0.1682485,0.06468627,0.04833322,0.1165904,0.0148553453903442,9.76544789022024e-17,0.00321419513128461,0.0242912015829663,0.0310368717193618,0.0691025333975852,-1.005438,0.012296525,0.38883265,0.023230675,3,"2020-03-04 16:29:05","Ground"
6330,0.438,0,-0.0099982095,0.0393884705,0.8447253,0.0516755499999999,0.438,0,0,1.110223e-16,0.83932005,0.00460634999999998,0,0,-0.0099982095,0.0393884705,0.006547154,0.04640743,0.438060785,5.5511125e-18,0.839378685,-6.07843e-05,-0.01160299912,0.0095036425,0.438,-1.665335e-16,0.8354083,0.4392157,1.110223e-16,0.8429846,-0.001215686,-0.04759866,-0.02750487,0,0.03542574,0.06233584,0.000271838784024646,7.1815307132406e-17,0.00274481769815027,0.000271835653529481,0.0257242426460883,0.029733494818104,-0.99404235,0.0111129500000001,-0.48097525,0.00192562500000004,3,"2020-03-04 14:38:19","Resting"
7135,0.438,0,-5.551115e-17,0,0.8504963,0,0.4404314,0.000303924999999983,-5.551115e-17,0,0.8504963,0,-0.002431373,0.0003039215,0,0,0,0,0.44055297,-5.551115e-17,0.8504963,0.0005470587,0,0,0.4392157,-5.551115e-17,0.8504963,0.4416471,-5.551115e-17,0.8504963,-0.003647059,0,0,0.05956863,0,0,0.000778927286046256,0,0,0.013914026264827,0,0,-0.9423458,0,-0.4778271,0.000281625000000008,3,"2020-03-04 15:05:09","Resting"
10752,-0.625,0,0.015476035,0.0599579225,0.88854755,0.026079575,-0.58230395,0.0385833250000001,-1.110223e-16,1.249001e-16,0.87422785,0.012903475,-0.048205885,0.05359804,0.015476035,0.0599579225,0.0112446965,0.03538140775,-0.58470688,-6.93889475e-17,0.87505134,-0.0466931348,0.006760185,0.0042911066,-0.6166471,-1.665335e-16,0.8561322,-0.5541373,1.665335e-16,0.8935553,-0.1277255,-0.08176327,-0.08674056,0.03278431,0.06449385,0.07042233,0.0220982639527133,8.9825588001665e-17,0.0108596935281657,0.0447197408604514,0.0407571444028413,0.0452889618043225,-0.85609845,0.00971050000000007,0.5875907,0.0377132250000001,3,"2020-03-04 17:05:43","Ground"
5352,0.375,0.063,-0.086636305,0.087002271,0.890765,0.0560161499999999,0.32082355,0.050166675,0,1.110223e-16,0.9079697,0.0111455499999999,0.07280392,0.07446568375,-0.086636305,0.087002271,-0.02165814,0.05522952175,0.32454903,-2.7755575e-18,0.909232065,0.05695097925,-0.0695052703,-0.02460459255,0.2882157,-1.110223e-16,0.899986,0.3705882,1.110223e-16,0.9191479,-0.05145098,-0.1959144,-0.1353291,0.1387451,0.07469258,0.06716492,0.028553269712022,7.52882173323469e-17,0.00648211848494928,0.0541770786856901,0.0746218600324282,0.0524383578038788,-1.071547,0.00716100000000019,-0.33964865,0.05334985,3,"2020-03-04 14:05:43","Low"
4950,0.313,0.062,0.02872817,0.05992382,0.9005785,0.06750015,0.2723431,0.025367675,-1.110223e-16,5.551115e-17,0.93781225,0.00719752500000004,0.05165686,0.0720833375,0.02872817,0.05992382,-0.034947535,0.072875855,0.276864705,-8.881785e-17,0.9354002,0.05773529655,0.0313658327,-0.01991332889,0.256451,-1.665335e-16,0.9223589,0.3078039,5.551115e-17,0.9413413,-0.007666667,-0.07120457,-0.0985945,0.1112157,0.2114309,0.04602005,0.0160496691429245,6.08094315489425e-17,0.00555881186481618,0.0405115350949896,0.0664452152070271,0.0459636656029915,-0.91730865,0.0157374499999999,-0.28234545,0.02652655,3,"2020-03-04 13:52:19","Low"
8617,0.25,0.187,0.01287294,0.02525047475,0.9561843,0.0873326750000001,0.37341175,0.01527945,-5.551115e-17,6.93889375e-17,0.88577265,0.00919684999999992,-0.12341175,0.202279445,0.01287294,0.02525047475,0.06868939,0.09415672275,0.370215695,-6.9388945e-17,0.89003235,-0.094965697,0.00956045685,0.05009644035,0.3568824,-2.220446e-16,0.8847013,0.3788824,5.551115e-17,0.9020035,-0.1908824,-0.05214012,-0.05939533,0.07866667,0.06179015,0.1303671,0.00819361608477665,7.82459659710241e-17,0.00645581145297132,0.0970780736873657,0.0283471337127334,0.0521957770738344,-0.88193435,0.03209225,-0.39914575,0.018170325,3,"2020-03-04 15:54:33","Other"
9494,0.438,0.063,0.0103959805,0.05320133,0.9012075,0.033657975,0.4231765,0.000308825000000013,-2.7755575e-17,2.2204465e-16,0.88983595,0.0048899,0.01482353,0.0633088225,0.0103959805,0.05320133,0.0097944065,0.0344879025,0.422644145,-5.27356075e-17,0.88912869,-0.0098441175,-0.0055690889,0.0003327318,0.4192157,-2.775558e-16,0.8827229,0.4231765,1.110223e-16,0.8926644,-0.04817647,-0.043654,-0.02520322,0.01878431,0.0199694,0.01844368,0.00109354272627282,1.0727035126974e-16,0.00323091554107794,0.0321268308829663,0.0274085772844895,0.0179852892322719,-0.99624575,0.00757394999999994,-0.443911,0.00271550000000004,3,"2020-03-04 16:23:47","Resting"
