Name,threshold,ID,IndMean,IndMax,SpeciesMean,SpeciesMeanMax,Species,LogMass,Device,DeviceAttachment
Annett_Wallaby,active,Snowpea_210524,0.181180961649136,2.16144454078428,0.181180961649136,2.16144454078428,Swamp Wallaby,4,Axivity,Collar
Annett_Wallaby,inactive,Snowpea_210524,0.0230893287714379,0.0499908048282207,0.0230893287714379,0.0499908048282207,Swamp Wallaby,4,Axivity,Collar
Buchmann_Camel,active,faya,0.304385026395273,1.39547550268469,0.274549801223474,1.53079398617077,Bactrian,5.84,,Collar
Buchmann_Camel,active,kiara,0.307726828735936,1.53079398617077,0.274549801223474,1.53079398617077,Bactrian,5.84,,Collar
Buchmann_Camel,active,renate,0.211537548539213,0.337246372456656,0.274549801223474,1.53079398617077,Bactrian,5.84,,Collar
Buchmann_CameroonSheep,active,671810,0.949246260908563,2.97076068760774,0.797310724177633,4.39650937259009,Cameroon,4.59,,Collar
Buchmann_CameroonSheep,active,85112,0.677758388504048,1.91451350543059,0.797310724177633,4.39650937259009,Cameroon,4.59,,Collar
Buchmann_CameroonSheep,active,89559,0.969084290070162,2.81341960605117,0.797310724177633,4.39650937259009,Cameroon,4.59,,Collar
Buchmann_CameroonSheep,active,89560,0.593153957227759,4.39650937259009,0.797310724177633,4.39650937259009,Cameroon,4.59,,Collar
Buchmann_Cow,active,bellis,0.269588363823942,2.31561727533325,0.343478158133902,2.88253713377717,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,active,deborah,0.470255573000225,1.49390306646555,0.343478158133902,2.88253713377717,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,active,cosima,0.116250860724769,0.606288059072164,0.343478158133902,2.88253713377717,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,active,dana,0.544315099796809,2.88253713377717,0.343478158133902,2.88253713377717,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,active,funkie,0.185232687614473,0.753308398430216,0.343478158133902,2.88253713377717,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,active,jolie,0.475226363843191,1.56289678940211,0.343478158133902,2.88253713377717,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,inactive,cosima,0.035173533880248,0.049902393332451,0.0381697025335966,0.0499476118364637,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,inactive,bellis,0.0407956283375222,0.0499476118364637,0.0381697025335966,0.0499476118364637,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Cow,inactive,funkie,0.0385399453830194,0.0494886445091122,0.0381697025335966,0.0499476118364637,Holstein–Friesian and Jersey,5.9,,Collar
Buchmann_Donkey,active,briese,0.556220872514966,1.81179449253467,0.503880611360074,2.03492469996151,Poitou,5.7,,Collar
Buchmann_Donkey,active,hatari,0.37897838319402,1.96088566721859,0.503880611360074,2.03492469996151,Poitou,5.7,,Collar
Buchmann_Donkey,active,nepomuk,0.576442578371236,2.03492469996151,0.503880611360074,2.03492469996151,Poitou,5.7,,Collar
Buchmann_DwarfGoat,active,18912,0.515851338581246,4.53372112265435,0.561151132964464,4.53372112265435,West African Dwarf,4.43,,Collar
Buchmann_DwarfGoat,active,518024,0.606450927347683,2.03107927376311,0.561151132964464,4.53372112265435,West African Dwarf,4.43,,Collar
Buchmann_Goat,active,black,0.573748048347618,2.45406590258603,0.557210881722309,2.45406590258603,Bunte Deutsche Edelziege,4.8,,Collar
Buchmann_Goat,active,bolle,0.501135864517773,1.92708151154707,0.557210881722309,2.45406590258603,Bunte Deutsche Edelziege,4.8,,Collar
Buchmann_Goat,active,lilli,0.544426156668816,2.27953934383667,0.557210881722309,2.45406590258603,Bunte Deutsche Edelziege,4.8,,Collar
Buchmann_Goat,active,linus,0.339198186204684,2.16383643169821,0.557210881722309,2.45406590258603,Bunte Deutsche Edelziege,4.8,,Collar
Buchmann_Goat,active,ulla,0.827546152872652,2.41491128110575,0.557210881722309,2.45406590258603,Bunte Deutsche Edelziege,4.8,,Collar
Buchmann_Goat,inactive,linus,0.0377413104391134,0.0477782310744327,0.0377413104391134,0.0477782310744327,Bunte Deutsche Edelziege,4.8,,Collar
